ENSMUSG00000009013|Dynll1
ENSMUSG00000039242|B3galnt2
ENSMUSG00000028165|Cisd2
ENSMUSG00000024576|Csnk1a1
ENSMUSG00000063457|Rps15
ENSMUSG00000020949|Fkbp3
ENSMUSG00000067928|Zfp760
ENSMUSG00000059291|Rpl11
ENSMUSG00000057841|Rpl32
ENSMUSG00000059586|Nsmce2
ENSMUSG00000003970|Rpl8
