ENSMUSG00000042520|Ubap2l
ENSMUSG00000021413|Prpf4b
ENSMUSG00000026843|Fubp3
ENSMUSG00000004768|Rab23
ENSMUSG00000079418|Atg4a
ENSMUSG00000022205|Sub1
ENSMUSG00000023106|Denr
ENSMUSG00000029014|Dnajc2
ENSMUSG00000031928|Mre11a
ENSMUSG00000026558|Uck2
ENSMUSG00000063179|Pstk
