ENSMUSG00000043518|Rai2
ENSMUSG00000024245|Tmem178
ENSMUSG00000046607|Hrk
ENSMUSG00000031028|Tub
ENSMUSG00000038248|Sobp
ENSMUSG00000026806|Ddx31
ENSMUSG00000034912|Mdga2
ENSMUSG00000061911|Myt1l
ENSMUSG00000025867|Cplx2
ENSMUSG00000035864|Syt1
ENSMUSG00000056073|Grik2
