ENSMUSG00000038696|Mapkap1
ENSMUSG00000096916|Zfp850
ENSMUSG00000025209|Twnk
ENSMUSG00000063808|Gpatch1
ENSMUSG00000042790|Rnf214
ENSMUSG00000020459|Mtif2
ENSMUSG00000047669|Msl3l2
ENSMUSG00000039795|Zfand1
ENSMUSG00000026965|Anapc2
ENSMUSG00000085227|6330418K02Rik
ENSMUSG00000052557|Gan
