ENSMUSG00000038047|Haus6
ENSMUSG00000024943|Smc5
ENSMUSG00000022360|Atad2
ENSMUSG00000029687|Ezh2
ENSMUSG00000017550|Atad5
ENSMUSG00000019773|Fbxo5
ENSMUSG00000033411|Ctdspl2
ENSMUSG00000022422|Dscc1
ENSMUSG00000031107|Rbmx2
ENSMUSG00000004099|Dnmt1
ENSMUSG00000028911|Srsf4
