ENSMUSG00000028187|Rpf1
ENSMUSG00000031546|Gins4
ENSMUSG00000059208|Hnrnpm
ENSMUSG00000028029|Aimp1
ENSMUSG00000021134|Srsf5
ENSMUSG00000024560|Cxxc1
ENSMUSG00000005566|Trim28
ENSMUSG00000067367|Lyar
ENSMUSG00000005481|Ddx39
ENSMUSG00000046909|Tefm
ENSMUSG00000109865|Hspa14
