ENSMUSG00000042046|Dstyk
ENSMUSG00000031902|Nfatc3
ENSMUSG00000031540|Kat6a
ENSMUSG00000054942|Miga1
ENSMUSG00000020954|Strn3
ENSMUSG00000020770|Unk
ENSMUSG00000019578|Ubxn6
ENSMUSG00000055239|Kcmf1
ENSMUSG00000024687|Osbp
ENSMUSG00000025417|Pip4k2c
ENSMUSG00000023977|Ubr2
