ENSMUSG00000018446|C1qbp
ENSMUSG00000033285|Wdr3
ENSMUSG00000029911|Ssbp1
ENSMUSG00000071646|Mta2
ENSMUSG00000027367|Stard7
ENSMUSG00000036376|Abt1
ENSMUSG00000037197|Rbm17
ENSMUSG00000024382|Ercc3
ENSMUSG00000022557|Bop1
ENSMUSG00000021832|Psmc6
ENSMUSG00000045948|Mrps12
