ENSMUSG00000074093|Svip
ENSMUSG00000059361|Nrsn2
ENSMUSG00000053580|Tanc2
ENSMUSG00000027313|Chac1
ENSMUSG00000029403|Cdkl2
ENSMUSG00000070802|Pnmal2
ENSMUSG00000026335|Pam
ENSMUSG00000049225|Pdp1
ENSMUSG00000004110|Cacna1e
ENSMUSG00000031302|Nlgn3
ENSMUSG00000007944|Ttc9b
