ENSMUSG00000068329|Htra2
ENSMUSG00000070939|Tgfbrap1
ENSMUSG00000025630|Hprt
ENSMUSG00000056228|Cars2
ENSMUSG00000022721|Trmt2a
ENSMUSG00000039456|Morc3
ENSMUSG00000002728|Naa20
ENSMUSG00000073982|Rhog
ENSMUSG00000029213|Commd8
ENSMUSG00000075705|Msrb1
ENSMUSG00000031662|Snx20
