ENSMUSG00000026269|Rnpepl1
ENSMUSG00000031442|Mcf2l
ENSMUSG00000038534|Osbpl7
ENSMUSG00000022545|Ercc4
ENSMUSG00000023460|Rab12
ENSMUSG00000052632|Asap2
ENSMUSG00000035247|Hectd1
ENSMUSG00000027665|Pik3ca
ENSMUSG00000022466|Rpap3
ENSMUSG00000072809|9330160F10Rik
ENSMUSG00000041977|Arhgef11
