ENSMUSG00000040043|Rbms2
ENSMUSG00000074622|Mafb
ENSMUSG00000029070|Mxra8
ENSMUSG00000032436|Cmtm7
ENSMUSG00000025921|Rdh10
ENSMUSG00000037664|Cdkn1c
ENSMUSG00000028015|Ctso
ENSMUSG00000019845|Tube1
ENSMUSG00000026003|Acadl
ENSMUSG00000044224|Dnajc21
ENSMUSG00000035274|Tpbg
