ENSMUSG00000037845|Fdxacb1
ENSMUSG00000028991|Mtor
ENSMUSG00000020305|Asb3
ENSMUSG00000069729|Arid1b
ENSMUSG00000040297|Suco
ENSMUSG00000040472|Rabggta
ENSMUSG00000031158|Timm17b
ENSMUSG00000005615|Pcyt1a
ENSMUSG00000037791|Phf12
ENSMUSG00000070002|Ell
ENSMUSG00000040464|Gtpbp10
