ENSMUSG00000097536|2610037D02Rik
ENSMUSG00000039901|9130011E15Rik
ENSMUSG00000034636|Zyg11b
ENSMUSG00000075592|Nynrin
ENSMUSG00000056342|Usp34
ENSMUSG00000029071|Dvl1
ENSMUSG00000047248|C2cd3
ENSMUSG00000034252|Senp6
ENSMUSG00000025224|Gbf1
ENSMUSG00000034243|Golgb1
ENSMUSG00000034210|Efcab14
