ENSMUSG00000032118|Fez1
ENSMUSG00000055204|Ankrd17
ENSMUSG00000040548|Tex2
ENSMUSG00000044629|Cnrip1
ENSMUSG00000013033|Adgrl1
ENSMUSG00000001062|Vps9d1
ENSMUSG00000020785|Camkk1
ENSMUSG00000037907|Ankrd13b
ENSMUSG00000002416|Ndufb2
ENSMUSG00000004567|Mcoln1
ENSMUSG00000098234|Snhg6
