ENSMUSG00000041654|Slc39a11
ENSMUSG00000029178|Klf3
ENSMUSG00000024544|Ldlrad4
ENSMUSG00000041712|Ubr7
ENSMUSG00000002250|Ppard
ENSMUSG00000050628|Ubald2
ENSMUSG00000050105|Grrp1
ENSMUSG00000038400|Pmepa1
ENSMUSG00000071724|Smpd5
ENSMUSG00000037434|Slc30a1
ENSMUSG00000061665|Cd2ap
