ENSMUSG00000017291|Taok1
ENSMUSG00000024835|Coro1b
ENSMUSG00000032382|Snx1
ENSMUSG00000013663|Pten
ENSMUSG00000055371|Stam2
ENSMUSG00000020794|Ube2g1
ENSMUSG00000032383|Ppib
ENSMUSG00000033222|Ttf2
ENSMUSG00000025171|Ubtd1
ENSMUSG00000003752|Itpkc
ENSMUSG00000032612|Usp4
