ENSMUSG00000046185|Zfp84
ENSMUSG00000020921|Tmem101
ENSMUSG00000020873|Slc35b1
ENSMUSG00000021254|Gpatch2l
ENSMUSG00000027709|Mccc1
ENSMUSG00000010097|Nxf1
ENSMUSG00000032583|Mon1a
ENSMUSG00000020642|Rnf144a
ENSMUSG00000040374|Pex2
ENSMUSG00000023118|Sympk
ENSMUSG00000046756|Mrps7
