ENSMUSG00000027635|Dsn1
ENSMUSG00000027411|Vps16
ENSMUSG00000047832|Cdca4
ENSMUSG00000007570|Fance
ENSMUSG00000020250|Txnrd1
ENSMUSG00000032897|Nfyc
ENSMUSG00000054309|Cpsf3
ENSMUSG00000037007|Zfp113
ENSMUSG00000020982|Nemf
ENSMUSG00000028675|Pnrc2
ENSMUSG00000027620|Rbm39
