ENSMUSG00000043929|Klhl15
ENSMUSG00000044340|Phlpp1
ENSMUSG00000035713|Usp35
ENSMUSG00000055313|Pgbd1
ENSMUSG00000028565|Nfia
ENSMUSG00000047115|Fam221a
ENSMUSG00000056383|AI987944
ENSMUSG00000024424|Ttc39c
ENSMUSG00000039713|Plekhg5
ENSMUSG00000055980|Irs1
ENSMUSG00000026223|Itm2c
