ENSMUSG00000048058|Ldlrad3
ENSMUSG00000039159|Ube2h
ENSMUSG00000039043|Arpin
ENSMUSG00000034974|Dapk3
ENSMUSG00000061111|Mcrip1
ENSMUSG00000001419|Mef2d
ENSMUSG00000021987|Mtmr6
ENSMUSG00000034908|Sidt2
ENSMUSG00000039976|Tbc1d16
ENSMUSG00000026927|Sdccag3
ENSMUSG00000043421|Hilpda
