ENSMUSG00000026355|Mcm6
ENSMUSG00000024792|Zfpl1
ENSMUSG00000000184|Ccnd2
ENSMUSG00000055612|Cdca7
ENSMUSG00000090115|Usp49
ENSMUSG00000037461|Ints7
ENSMUSG00000024533|Spire1
ENSMUSG00000024077|Strn
ENSMUSG00000057706|Mex3b
ENSMUSG00000023908|Pkmyt1
ENSMUSG00000006678|Pola1
