ENSMUSG00000052331|Ankrd44
ENSMUSG00000091722|Siah3
ENSMUSG00000057835|Zfp119a
ENSMUSG00000036111|Lmo1
ENSMUSG00000040972|Igsf21
ENSMUSG00000097545|Mir124a-1hg
ENSMUSG00000059674|Cdh24
ENSMUSG00000031561|Tenm3
ENSMUSG00000037653|Kctd8
ENSMUSG00000024647|Cbln2
ENSMUSG00000026393|Nek7
