ENSMUSG00000026626|Ppp2r5a
ENSMUSG00000073411|H2-D1
ENSMUSG00000039747|Orai2
ENSMUSG00000029723|Tsc22d4
ENSMUSG00000031104|Rab33a
ENSMUSG00000015149|Sirt2
ENSMUSG00000039637|Coro7
ENSMUSG00000019558|Slc6a8
ENSMUSG00000031021|Tmem9b
ENSMUSG00000012296|Tjap1
ENSMUSG00000026991|Pkp4
