ENSMUSG00000004637|Wwox
ENSMUSG00000020883|Fbxl20
ENSMUSG00000034297|Med13
ENSMUSG00000063450|Syne2
ENSMUSG00000035629|Rubcn
ENSMUSG00000071547|Nt5dc2
ENSMUSG00000000538|Tom1l2
ENSMUSG00000108621|Gm37494
ENSMUSG00000021687|Scamp1
ENSMUSG00000031441|Atp11a
ENSMUSG00000044857|Lemd2
