ENSMUSG00000021037|Ahsa1
ENSMUSG00000005899|Smpd4
ENSMUSG00000032399|Rpl4
ENSMUSG00000078348|Sf3b5
ENSMUSG00000002984|Tomm40
ENSMUSG00000028322|Exosc3
ENSMUSG00000004393|Ddx56
ENSMUSG00000040354|Mars
ENSMUSG00000021428|Riok1
ENSMUSG00000025428|Atp5a1
ENSMUSG00000063049|Ing2
