ENSMUSG00000049184|Purg
ENSMUSG00000025759|Mfsd8
ENSMUSG00000029361|Nos1
ENSMUSG00000039257|Vstm2b
ENSMUSG00000029819|Npy
ENSMUSG00000040387|Klhl32
ENSMUSG00000031772|Cntnap4
ENSMUSG00000067242|Lgi1
ENSMUSG00000034813|Grip1
ENSMUSG00000048304|Slitrk3
ENSMUSG00000061894|Zscan20
