ENSMUSG00000029148|Nrbp1
ENSMUSG00000024234|Mtpap
ENSMUSG00000018736|Ndel1
ENSMUSG00000037815|Ctnna1
ENSMUSG00000001229|Dpp9
ENSMUSG00000039887|Alg14
ENSMUSG00000096010|Hist4h4
ENSMUSG00000052040|Klf13
ENSMUSG00000027669|Gnb4
ENSMUSG00000038459|Abhd17c
ENSMUSG00000021279|Cdc42bpb
