ENSMUSG00000047036|Zfp445
ENSMUSG00000049600|Zbtb45
ENSMUSG00000091472|Gm3739
ENSMUSG00000027394|Ttl
ENSMUSG00000028550|Atg4c
ENSMUSG00000067942|Zfp160
ENSMUSG00000036686|Cc2d1a
ENSMUSG00000029836|Cbx3
ENSMUSG00000026064|Ptp4a1
ENSMUSG00000028643|Svbp
ENSMUSG00000040407|Akap9
