ENSMUSG00000054381|Zfp747
ENSMUSG00000032293|Ireb2
ENSMUSG00000001323|Srr
ENSMUSG00000020523|Fam114a2
ENSMUSG00000049536|Tceal1
ENSMUSG00000040928|S100pbp
ENSMUSG00000024683|Mrpl16
ENSMUSG00000053769|Lysmd1
ENSMUSG00000073176|Zfp449
ENSMUSG00000032067|Pts
ENSMUSG00000021514|Zfp369
