ENSMUSG00000030079|Ruvbl1
ENSMUSG00000001380|Hars
ENSMUSG00000027170|Eif3m
ENSMUSG00000031730|Dhodh
ENSMUSG00000022370|Mrpl13
ENSMUSG00000036371|Serbp1
ENSMUSG00000116564|Riok2
ENSMUSG00000025980|Hspd1
ENSMUSG00000036733|Rbm42
ENSMUSG00000018848|Rars
ENSMUSG00000028798|Eif3i
