ENSMUSG00000027200|Sema6d
ENSMUSG00000036867|Smad6
ENSMUSG00000039620|6430573F11Rik
ENSMUSG00000039577|Nphp4
ENSMUSG00000040209|Zfp704
ENSMUSG00000027030|Stk39
ENSMUSG00000038677|Scube3
ENSMUSG00000024347|Psd2
ENSMUSG00000035403|Crb2
ENSMUSG00000024851|Pitpnm1
ENSMUSG00000042757|Tmem108
