ENSMUSG00000021700|Rab3c
ENSMUSG00000057880|Abat
ENSMUSG00000026872|Zeb2
ENSMUSG00000032735|Ablim3
ENSMUSG00000001120|Pcbp3
ENSMUSG00000024743|Syt7
ENSMUSG00000024955|Esrra
ENSMUSG00000038486|Sv2a
ENSMUSG00000033342|Plppr5
ENSMUSG00000004151|Etv1
ENSMUSG00000050272|Dscam
