ENSMUSG00000045211|Nudt18
ENSMUSG00000024169|Ift140
ENSMUSG00000022677|Fopnl
ENSMUSG00000061207|Stk19
ENSMUSG00000052031|Tagap1
ENSMUSG00000029703|Lrwd1
ENSMUSG00000022136|Dnajc3
ENSMUSG00000024212|Mllt1
ENSMUSG00000059834|Sclt1
ENSMUSG00000029726|Mepce
ENSMUSG00000063439|B9d2
