ENSMUSG00000017144|Rnd3
ENSMUSG00000031109|Enox2
ENSMUSG00000051251|Nhlh1
ENSMUSG00000024968|Rcor2
ENSMUSG00000038034|Igsf8
ENSMUSG00000032228|Tcf12
ENSMUSG00000097892|Gm26801
ENSMUSG00000041216|Clvs1
ENSMUSG00000032446|Eomes
ENSMUSG00000043323|Fbrsl1
ENSMUSG00000027660|Skil
