ENSMUSG00000036192|Rorb
ENSMUSG00000043811|Rtn4r
ENSMUSG00000040570|Rundc3b
ENSMUSG00000054477|Kcnn2
ENSMUSG00000038738|Shank1
ENSMUSG00000020669|Sh3yl1
ENSMUSG00000052516|Robo2
ENSMUSG00000040270|Bach2
ENSMUSG00000036469|March1
ENSMUSG00000035868|Zfp983
ENSMUSG00000020027|Socs2
