ENSMUSG00000063358|Mapk1
ENSMUSG00000028999|Rint1
ENSMUSG00000039357|Fut11
ENSMUSG00000006740|Kif5b
ENSMUSG00000031585|Gtf2e2
ENSMUSG00000052906|Ubxn8
ENSMUSG00000031570|Plpp5
ENSMUSG00000023010|Tmbim6
ENSMUSG00000056941|Commd7
ENSMUSG00000043372|Hexim2
ENSMUSG00000031467|Agpat5
