ENSMUSG00000029311|Hsd17b11
ENSMUSG00000025287|Acot9
ENSMUSG00000032540|Abhd5
ENSMUSG00000010095|Slc3a2
ENSMUSG00000016481|Cr1l
ENSMUSG00000015750|Aph1a
ENSMUSG00000039849|Pcif1
ENSMUSG00000027997|Casp6
ENSMUSG00000034560|Washc4
ENSMUSG00000036120|Rfxank
ENSMUSG00000027720|Il2
