ENSMUSG00000030298|Sec13
ENSMUSG00000073838|Tufm
ENSMUSG00000035439|Haus8
ENSMUSG00000035372|1810055G02Rik
ENSMUSG00000029199|Lias
ENSMUSG00000024826|Dpf2
ENSMUSG00000057229|Dmac2
ENSMUSG00000027466|Rbck1
ENSMUSG00000029179|Zcchc4
ENSMUSG00000024069|Slc30a6
ENSMUSG00000041837|Pdcd7
