ENSMUSG00000044864|Ankrd50
ENSMUSG00000063605|Ccdc102a
ENSMUSG00000021417|Eci2
ENSMUSG00000033088|Triobp
ENSMUSG00000049439|Cyp20a1
ENSMUSG00000085795|Zfp703
ENSMUSG00000034673|Pbx2
ENSMUSG00000029552|Tes
ENSMUSG00000025006|Sorbs1
ENSMUSG00000056917|Sipa1
ENSMUSG00000024070|Prkd3
