ENSMUSG00000031207|Msn
ENSMUSG00000032698|Lmo2
ENSMUSG00000032562|Gnai2
ENSMUSG00000027900|Dram2
ENSMUSG00000027803|Wwtr1
ENSMUSG00000028655|Mfsd2a
ENSMUSG00000024812|Tjp2
ENSMUSG00000001552|Jup
ENSMUSG00000053560|Ier2
ENSMUSG00000001995|Sipa1l2
ENSMUSG00000023915|Tnfrsf21
