ENSMUSG00000030879|Mrpl17
ENSMUSG00000029840|Mtpn
ENSMUSG00000020149|Rab1a
ENSMUSG00000007041|Clic1
ENSMUSG00000022174|Dad1
ENSMUSG00000027940|Tpm3
ENSMUSG00000026895|Ndufa8
ENSMUSG00000028671|Gale
ENSMUSG00000029649|Pomp
ENSMUSG00000042747|Krtcap2
ENSMUSG00000032966|Fkbp1a
