ENSMUSG00000038212|Mfsd14b
ENSMUSG00000032042|Srpr
ENSMUSG00000028106|Rprd2
ENSMUSG00000024789|Jak2
ENSMUSG00000037916|Ndufv1
ENSMUSG00000054455|Vapb
ENSMUSG00000022811|Zfp148
ENSMUSG00000038705|Gmeb2
ENSMUSG00000066036|Ubr4
ENSMUSG00000066640|Fbxl18
ENSMUSG00000020232|Hmg20b
