ENSMUSG00000063646|Jakmip1
ENSMUSG00000017376|Nlk
ENSMUSG00000030522|Mtmr10
ENSMUSG00000039989|Cbx4
ENSMUSG00000074513|Arfip1
ENSMUSG00000097059|Fam120aos
ENSMUSG00000026825|Dnm1
ENSMUSG00000026817|Ak1
ENSMUSG00000041975|Mettl8
ENSMUSG00000110945|Gm9856
ENSMUSG00000056665|Them6
