ENSMUSG00000054850|Smim10l2a
ENSMUSG00000036062|Phf24
ENSMUSG00000029712|Actl6b
ENSMUSG00000055733|Nap1l3
ENSMUSG00000036564|Ndrg4
ENSMUSG00000071379|Hpcal1
ENSMUSG00000022075|Rhobtb2
ENSMUSG00000037887|Dusp8
ENSMUSG00000038128|Camk4
ENSMUSG00000030329|Pianp
ENSMUSG00000082229|Nap1l2
