ENSMUSG00000024622|Hmgxb3
ENSMUSG00000037363|Letm2
ENSMUSG00000039670|Oxld1
ENSMUSG00000044475|Ascc1
ENSMUSG00000025035|Arl3
ENSMUSG00000031796|Cfap20
ENSMUSG00000003068|Stk11
ENSMUSG00000026578|Ccdc181
ENSMUSG00000014232|Cluap1
ENSMUSG00000036499|Eea1
ENSMUSG00000038205|Prkab2
