ENSMUSG00000022706|Mrpl40
ENSMUSG00000054715|Zscan22
ENSMUSG00000014907|Naf1
ENSMUSG00000034432|Cops8
ENSMUSG00000028099|Polr3c
ENSMUSG00000034274|Thoc5
ENSMUSG00000022035|Ccdc25
ENSMUSG00000027193|Api5
ENSMUSG00000015671|Psma2
ENSMUSG00000026036|Nif3l1
ENSMUSG00000015748|Prpf3
