ENSMUSG00000026659|Dusp12
ENSMUSG00000004880|Lbr
ENSMUSG00000004667|Polr2e
ENSMUSG00000039231|Suv39h1
ENSMUSG00000018040|Rrp7a
ENSMUSG00000048495|Tyw5
ENSMUSG00000017716|Birc5
ENSMUSG00000033706|Smyd5
ENSMUSG00000026917|Wdr5
ENSMUSG00000026309|Ilkap
ENSMUSG00000069089|Cdk7
