ENSMUSG00000048170|Mcmbp
ENSMUSG00000017404|Rpl19
ENSMUSG00000064326|Siva1
ENSMUSG00000061315|Naca
ENSMUSG00000030663|1110004F10Rik
ENSMUSG00000026434|Nucks1
ENSMUSG00000049164|Zfp518a
ENSMUSG00000039001|Rps21
ENSMUSG00000053768|Chchd3
ENSMUSG00000036893|Ehmt1
ENSMUSG00000031320|Rps4x
