ENSMUSG00000031963|Bmper
ENSMUSG00000022899|Slc15a2
ENSMUSG00000028086|Fbxw7
ENSMUSG00000041958|Pigs
ENSMUSG00000026384|Ptpn4
ENSMUSG00000062991|Nrg1
ENSMUSG00000027508|Pag1
ENSMUSG00000030549|Rhcg
ENSMUSG00000005360|Slc1a3
ENSMUSG00000016028|Celsr1
ENSMUSG00000053399|Adamts18
