ENSMUSG00000024538|Ppic
ENSMUSG00000052769|Gm9889
ENSMUSG00000029207|Apbb2
ENSMUSG00000021900|Btd
ENSMUSG00000036478|Btg1
ENSMUSG00000015501|Hivep2
ENSMUSG00000041936|Agrn
ENSMUSG00000031714|Gab1
ENSMUSG00000019960|Dusp6
ENSMUSG00000037104|Socs5
ENSMUSG00000048285|Frmd6
