ENSMUSG00000020009|Ifngr1
ENSMUSG00000045817|Zfp36l2
ENSMUSG00000022533|Atp13a3
ENSMUSG00000046139|Patl1
ENSMUSG00000030691|Fchsd2
ENSMUSG00000038910|Plcl2
ENSMUSG00000095041|AC149090.1
ENSMUSG00000083282|Ctsf
ENSMUSG00000027848|Olfml3
ENSMUSG00000015745|Plekho1
ENSMUSG00000030560|Ctsc
