ENSMUSG00000001524|Gtf2h4
ENSMUSG00000034442|Trmt5
ENSMUSG00000026229|Psmd1
ENSMUSG00000052738|Suclg1
ENSMUSG00000071533|Pcnp
ENSMUSG00000041841|Rpl37
ENSMUSG00000066148|Prpf4
ENSMUSG00000016946|Kctd5
ENSMUSG00000042305|Tmem183a
ENSMUSG00000019471|Cdc37
ENSMUSG00000038462|Uqcrfs1
