ENSMUSG00000024271|Elp2
ENSMUSG00000028873|Cdca8
ENSMUSG00000018377|Vezf1
ENSMUSG00000036285|Noa1
ENSMUSG00000029833|Trim24
ENSMUSG00000022391|Rangap1
ENSMUSG00000027349|Fam98b
ENSMUSG00000019143|Hars2
ENSMUSG00000002524|Puf60
ENSMUSG00000032586|Traip
ENSMUSG00000020808|Pimreg
