ENSMUSG00000097842|9330104G04Rik
ENSMUSG00000000131|Xpo6
ENSMUSG00000046785|Epm2aip1
ENSMUSG00000046836|Brox
ENSMUSG00000041396|Mettl18
ENSMUSG00000074671|Tspyl3
ENSMUSG00000031576|Kcnu1
ENSMUSG00000030610|Det1
ENSMUSG00000025862|Stag2
ENSMUSG00000026664|Phyh
ENSMUSG00000072694|1500011B03Rik
