ENSMUSG00000027333|Smox
ENSMUSG00000041992|Rapgef5
ENSMUSG00000097234|Gm26518
ENSMUSG00000079084|Ccdc82
ENSMUSG00000040312|Cchcr1
ENSMUSG00000019822|Smpd2
ENSMUSG00000040990|Sh3kbp1
ENSMUSG00000032667|Pon2
ENSMUSG00000025510|Cd151
ENSMUSG00000027806|Tsc22d2
ENSMUSG00000022500|Litaf
