ENSMUSG00000036748|Cuedc2
ENSMUSG00000026594|Ralgps2
ENSMUSG00000027883|Gpsm2
ENSMUSG00000037072|Selenof
ENSMUSG00000053398|Phgdh
ENSMUSG00000072955|Tmsb15l
ENSMUSG00000030970|Ctbp2
ENSMUSG00000022678|Nde1
ENSMUSG00000068744|Psrc1
ENSMUSG00000038943|Prc1
ENSMUSG00000079553|Kifc1
