ENSMUSG00000031969|Acad8
ENSMUSG00000036835|Psenen
ENSMUSG00000025731|Mettl26
ENSMUSG00000003184|Irf3
ENSMUSG00000020133|2310011J03Rik
ENSMUSG00000027487|Cdk5rap1
ENSMUSG00000019579|Mydgf
ENSMUSG00000024098|Twsg1
ENSMUSG00000033728|Lrrc14
ENSMUSG00000022973|Synj1
ENSMUSG00000078435|AU041133
