ENSMUSG00000057497|Fam136a
ENSMUSG00000066042|Med18
ENSMUSG00000034867|Ankrd27
ENSMUSG00000028223|Decr1
ENSMUSG00000069117|Gm10260
ENSMUSG00000027166|Dnajc24
ENSMUSG00000030662|Ipo5
ENSMUSG00000028691|Prdx1
ENSMUSG00000030423|Pop4
ENSMUSG00000057666|Gapdh
ENSMUSG00000022051|Bnip3l
