ENSMUSG00000031137|Fgf13
ENSMUSG00000018411|Mapt
ENSMUSG00000073433|Arhgdig
ENSMUSG00000026426|Arl8a
ENSMUSG00000031748|Gnao1
ENSMUSG00000024502|Jakmip2
ENSMUSG00000019943|Atp2b1
ENSMUSG00000031791|Tmem38a
ENSMUSG00000021288|Klc1
ENSMUSG00000054843|Atrnl1
ENSMUSG00000024112|Cacna1h
