ENSMUSG00000006412|Pfdn2
ENSMUSG00000067148|Polr1c
ENSMUSG00000067194|Eif1ax
ENSMUSG00000039509|Nup133
ENSMUSG00000030871|Ears2
ENSMUSG00000030801|Kat8
ENSMUSG00000030695|Aldoa
ENSMUSG00000021270|Hsp90aa1
ENSMUSG00000020630|Rnaseh1
ENSMUSG00000022300|Dcaf13
ENSMUSG00000040521|Tsfm
