ENSMUSG00000020385|Clk4
ENSMUSG00000006736|Tspan31
ENSMUSG00000031959|Wdr59
ENSMUSG00000037972|Snn
ENSMUSG00000045538|Ddx28
ENSMUSG00000035572|Dcaf10
ENSMUSG00000027428|Rbbp9
ENSMUSG00000038822|Hace1
ENSMUSG00000020362|Cnot6
ENSMUSG00000014763|Fam120b
ENSMUSG00000008958|Vps72
