ENSMUSG00000022681|Ntan1
ENSMUSG00000037032|Apbb1
ENSMUSG00000058317|Ube2e2
ENSMUSG00000039201|Tbc1d25
ENSMUSG00000021368|Tbc1d7
ENSMUSG00000025228|Actr1a
ENSMUSG00000032333|Stoml1
ENSMUSG00000026767|Mindy3
ENSMUSG00000001525|Tubb5
ENSMUSG00000036430|Tbcc
ENSMUSG00000030172|Erc1
