ENSMUSG00000025666|Tmem47
ENSMUSG00000024269|Tpgs2
ENSMUSG00000028256|Odf2l
ENSMUSG00000021234|Fam161b
ENSMUSG00000044906|4930503L19Rik
ENSMUSG00000034303|Ccdc15
ENSMUSG00000033055|Ankrd54
ENSMUSG00000031760|Mt3
ENSMUSG00000040537|Adam22
ENSMUSG00000001663|Gstt1
ENSMUSG00000022453|Naga
